,Date,BottomHolePressure (BARa),SandfacePressureRef|BottomHolePressureRef (BARa),DrainageRegionPressureRef|DrainageRegionPressure (BARa),LiquidProductivityIndex (Sm3/day/bar),GasProductivityIndex (Sm3/day/bar),ProductivityIndexResCond (Rm3/day/bar),WellIndexResCond (Rm3/day/bar),BottomHoleTemperature (deg C),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),HallIntegral (Bar.d),HallVoidageDerivative (Bar.d),HallWaterDerivative (Bar.d),HallGasDerivative (Bar.d),WaterBreakthroughTime (days),GasBreakthroughTime (days),TransitTime (days),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),NPV (MMUS$),
I1,20.10.1997 16:48:00,341.959,344.027,272.079,41.6952,0,41.694,202.411,60,2999.86,2999.86,0,0,1490.67,1490.67,0,0,0,0,0,0,42171.5,47031.1,47031.2,0,499.725,1e+06,897.676,0,0,0,0,1.97601e+06,1.97601e+06,0,0,6.6554e+11,2999.99,3000,1.9761e+06,-11.4192,
I1,30.10.1997 16:48:00,342.032,344.107,272.023,41.6157,0,41.6146,202.412,60,2999.86,2999.86,0,0,1490.64,1490.64,0,0,0,0,0,0,42892.4,47841.8,47841.8,0,482.777,1e+06,899.355,0,0,0,0,2.006e+06,2.006e+06,0,0,6.75677e+11,2999.99,3000,2.0061e+06,-11.5779,
I1,09.11.1997 16:48:00,341.917,344.001,271.772,41.5328,0,41.5317,202.415,60,2999.86,2999.86,0,0,1490.68,1490.68,0,0,0,0,0,0,43614.7,48659.6,48659.6,0,463.204,1e+06,888.158,0,0,0,0,2.036e+06,2.036e+06,0,0,6.85813e+11,2999.99,3000,2.0361e+06,-11.7362,
I1,19.11.1997 16:48:00,341.859,343.95,271.611,41.4693,0,41.4681,202.416,60,2999.86,2999.86,0,0,1490.63,1490.63,0,0,0,0,0,0,44338.1,49457.5,49457.6,0,480.771,1e+06,889.735,0,0,0,0,2.066e+06,2.066e+06,0,0,6.95949e+11,2999.99,3000,2.0661e+06,-11.894,
I1,29.11.1997 16:48:00,341.789,343.888,271.316,41.3361,0,41.335,200.567,60,2999.86,2999.86,0,0,1480.8,1480.8,0,0,0,0,0,0,45063.8,50342.6,50342.6,0,480.325,1e+06,891.687,0,0,0,0,2.096e+06,2.096e+06,0,0,7.06088e+11,2999.99,3000,2.0961e+06,-12.0515,
I1,09.12.1997 16:48:00,341.882,343.99,271.275,41.2551,0,41.2539,201.182,60,2999.86,2999.86,0,0,1481.24,1481.24,0,0,0,0,0,0,45790.9,51168.7,51168.7,0,462.764,1e+06,883.51,0,0,0,0,2.126e+06,2.126e+06,0,0,7.16235e+11,2999.98,3000,2.1261e+06,-12.2085,
I1,19.12.1997 16:48:00,341.568,343.684,270.935,41.2356,0,41.2344,198.762,60,2999.86,2999.86,0,0,1478.07,1478.07,0,0,0,0,0,0,46518.4,51920.3,51920.4,0,463.067,1e+06,884.474,0,0,0,0,2.156e+06,2.156e+06,0,0,7.26373e+11,2999.99,3000,2.1561e+06,-12.3651,
I1,29.12.1997 16:48:00,342.083,344.207,271.087,41.027,0,41.0258,197.009,60,2999.86,2999.86,0,0,1463.55,1463.55,0,0,0,0,0,0,47249.6,52915.5,52915.6,0,459.224,1e+06,884.432,0,0,0,0,2.186e+06,2.186e+06,0,0,7.36526e+11,2999.98,3000,2.1861e+06,-12.5214,
I1,08.01.1998 16:48:00,341.949,344.081,271.026,41.0632,0,41.062,196.738,60,2999.86,2999.86,0,0,1468.96,1468.96,0,0,0,0,0,0,47980.2,53599.5,53599.5,0,441.033,1e+06,887.286,0,0,0,0,2.21599e+06,2.21599e+06,0,0,7.4666e+11,2999.98,3000,2.2161e+06,-12.6772,
I1,18.01.1998 16:48:00,342.143,344.283,270.931,40.8969,0,40.8958,194.638,60,2999.86,2999.86,0,0,1453.65,1453.65,0,0,0,0,0,0,48713.7,54550.8,54550.9,0,443.875,1e+06,876.064,0,0,0,0,2.24599e+06,2.24599e+06,0,0,7.56808e+11,2999.98,3000,2.2461e+06,-12.8326,
I1,28.01.1998 16:48:00,341.969,344.116,270.872,40.9569,0,40.9557,194.008,60,2999.86,2999.86,0,0,1463.82,1463.82,0,0,0,0,0,0,49446.1,55203.5,55203.5,0,414.22,1e+06,880.065,0,0,0,0,2.27599e+06,2.27599e+06,0,0,7.66942e+11,2999.98,3000,2.2761e+06,-12.9876,
I1,07.02.1998 16:48:00,341.729,343.885,270.676,40.977,0,40.9759,193.291,60,2999.86,2999.86,0,0,1468.22,1468.22,0,0,0,0,0,0,50178.2,55908.4,55908.4,0,426.818,1e+06,881.683,0,0,0,0,2.30599e+06,2.30599e+06,0,0,7.77068e+11,2999.98,3000,2.3061e+06,-13.1422,
I1,17.02.1998 16:48:00,341.598,343.76,270.382,40.8822,0,40.881,192.558,60,2999.86,2999.86,0,0,1462.1,1462.1,0,0,0,0,0,0,50912,56771.9,56772,0,425.133,1e+06,870.151,0,0,0,0,2.33599e+06,2.33599e+06,0,0,7.872e+11,2999.98,3000,2.3361e+06,-13.2963,
I1,27.02.1998 16:48:00,341.069,343.239,270.313,41.1358,0,41.1347,199.678,60,2999.86,2999.86,0,0,1512.36,1512.36,0,0,0,0,0,0,51641.3,57151.2,57151.2,0,400.64,1e+06,873.577,0,0,0,0,2.36599e+06,2.36599e+06,0,0,7.97341e+11,2999.98,3000,2.3661e+06,-13.4501,
I1,09.03.1998 16:48:00,340.709,342.887,269.598,40.9321,0,40.931,190.643,60,2999.86,2999.86,0,0,1460.19,1460.19,0,0,0,0,0,0,52374.1,58168.4,58168.5,0,408.629,1e+06,876.422,0,0,0,0,2.39599e+06,2.39599e+06,0,0,8.07433e+11,2999.98,3000,2.3961e+06,-13.6035,
I1,19.03.1998 16:48:00,340.27,342.455,269.077,40.8824,0,40.8812,190.792,60,2999.86,2999.86,0,0,1458.88,1458.88,0,0,0,0,0,0,53107.9,58973,58973.1,0,407.195,1e+06,877.936,0,0,0,0,2.42598e+06,2.42598e+06,0,0,8.17536e+11,2999.98,3000,2.4261e+06,-13.7565,
I1,29.03.1998 16:48:00,339.699,341.892,268.607,40.9345,0,40.9334,190.539,60,2999.86,2999.86,0,0,1466.63,1466.63,0,0,0,0,0,0,53840.8,59630.7,59630.8,0,383.064,1e+06,869.839,0,0,0,0,2.45598e+06,2.45598e+06,0,0,8.2763e+11,2999.98,3000,2.4561e+06,-13.9091,
I1,08.04.1998 16:48:00,338.688,340.888,267.741,41.0115,0,41.0104,191.74,60,2999.86,2999.86,0,0,1472.66,1472.66,0,0,0,0,0,0,54572.2,60250.3,60250.3,0,383.299,1e+06,871.379,0,0,0,0,2.48598e+06,2.48598e+06,0,0,8.37707e+11,2999.98,3000,2.4861e+06,-14.0613,
I1,18.04.1998 16:48:00,337.519,339.726,266.934,41.2111,0,41.21,193.935,60,2999.86,2999.86,0,0,1502.52,1502.52,0,0,0,0,0,0,55300.2,60686.4,60686.5,0,389.429,1e+06,874.676,0,0,0,0,2.51598e+06,2.51598e+06,0,0,8.47777e+11,2999.98,3000,2.5161e+06,-14.2131,
I1,28.04.1998 16:48:00,336.459,338.674,265.61,41.0583,0,41.0572,189.039,60,2999.86,2999.86,0,0,1464.98,1464.98,0,0,0,0,0,0,56030.8,61642.9,61642.9,0,361.259,1e+06,868.837,0,0,0,0,2.54598e+06,2.54598e+06,0,0,8.57828e+11,2999.98,3000,2.5461e+06,-14.3645,
I1,08.05.1998 16:48:00,335.81,338.033,264.982,41.0654,0,41.0643,190.945,60,2999.86,2999.86,0,0,1476.41,1476.41,0,0,0,0,0,0,56761.3,62362.7,62362.8,0,372.413,1e+06,867.298,0,0,0,0,2.57598e+06,2.57598e+06,0,0,8.67896e+11,2999.98,3000,2.5761e+06,-14.5155,
I1,18.05.1998 16:48:00,337.075,339.304,265.538,40.6674,0,40.6663,189.243,60,2999.86,2999.86,0,0,1457.78,1457.78,0,0,0,0,0,0,57499,63710.8,63710.9,0,369.924,1e+06,865.304,0,0,0,0,2.60598e+06,2.60598e+06,0,0,8.78066e+11,2999.98,3000,2.6061e+06,-14.6661,
I1,28.05.1998 16:48:00,337.297,339.532,265.558,40.5527,0,40.5516,185.571,60,2999.86,2999.86,0,0,1431.34,1431.34,0,0,0,0,0,0,58238.7,64630.6,64630.7,0,341.322,1e+06,857.359,0,0,0,0,2.63597e+06,2.63597e+06,0,0,8.88218e+11,2999.98,3000,2.6361e+06,-14.8163,
I1,07.06.1998 16:48:00,337.374,339.615,265.69,40.5798,0,40.5787,186.938,60,2999.86,2999.86,0,0,1440.48,1440.48,0,0,0,0,0,0,58978,65326.8,65326.9,0,337.886,1e+06,858.471,0,0,0,0,2.66597e+06,2.66597e+06,0,0,8.98382e+11,2999.98,3000,2.6661e+06,-14.9661,
I1,17.06.1998 16:48:00,337.216,339.462,265.571,40.5984,0,40.5973,187.151,60,2999.86,2999.86,0,0,1442.21,1442.21,0,0,0,0,0,0,59716.9,66035.8,66035.9,0,343.361,1e+06,859.217,0,0,0,0,2.69597e+06,2.69597e+06,0,0,9.08546e+11,2999.98,3000,2.6961e+06,-15.1156,
I1,27.06.1998 16:48:00,337.029,339.279,265.418,40.6153,0,40.6142,187.162,60,2999.86,2999.86,0,0,1442.32,1442.32,0,0,0,0,0,0,60455.5,66746.9,66747,0,335.264,1e+06,851.412,0,0,0,0,2.72597e+06,2.72597e+06,0,0,9.18709e+11,2999.98,3000,2.7261e+06,-15.2646,
I1,07.07.1998 16:48:00,336.832,339.087,265.208,40.605,0,40.604,185.046,60,2999.86,2999.86,0,0,1435,1435,0,0,0,0,0,0,61194.3,67502.5,67502.6,0,333.695,1e+06,853.724,0,0,0,0,2.75597e+06,2.75597e+06,0,0,9.28866e+11,2999.98,3000,2.7561e+06,-15.4133,
I1,17.07.1998 16:48:00,336.36,338.618,264.902,40.6947,0,40.6936,183.998,60,2999.86,2999.86,0,0,1438.31,1438.31,0,0,0,0,0,0,61931.4,68090.9,68091,0,333.079,1e+06,856.638,0,0,0,0,2.78597e+06,2.78597e+06,0,0,9.39006e+11,2999.98,3000,2.7861e+06,-15.5616,
I1,27.07.1998 16:48:00,335.577,337.839,264.509,40.9093,0,40.9082,187.479,60,2999.86,2999.86,0,0,1469.67,1469.67,0,0,0,0,0,0,62664.7,68467.1,68467.2,0,317.534,1e+06,859.801,0,0,0,0,2.81597e+06,2.81597e+06,0,0,9.4914e+11,2999.98,3000,2.8161e+06,-15.7094,
I1,06.08.1998 16:48:00,335.451,337.716,264.081,40.74,0,40.7389,183.179,60,2999.86,2999.86,0,0,1436.07,1436.07,0,0,0,0,0,0,63401.1,69488,69488.1,0,315.539,1e+06,850.561,0,0,0,0,2.84596e+06,2.84596e+06,0,0,9.59261e+11,2999.98,3000,2.8461e+06,-15.8569,
I1,16.08.1998 16:48:00,334.713,336.98,263.411,40.776,0,40.7749,184.483,60,2999.86,2999.86,0,0,1443.28,1443.28,0,0,0,0,0,0,64136.7,70162.4,70162.5,0,315.01,1e+06,853.185,0,0,0,0,2.87596e+06,2.87596e+06,0,0,9.69394e+11,2999.98,3000,2.8761e+06,-16.0041,
I1,26.08.1998 16:48:00,334.257,336.527,263.029,40.8155,0,40.8144,184.692,60,2999.86,2999.86,0,0,1444.78,1444.78,0,0,0,0,0,0,64871.7,70829.4,70829.5,0,299.183,1e+06,855.903,0,0,0,0,2.90596e+06,2.90596e+06,0,0,9.79527e+11,2999.98,3000,2.9061e+06,-16.1508,
I1,05.09.1998 16:48:00,333.346,335.618,262.355,40.9463,0,40.9452,184.258,60,2999.86,2999.86,0,0,1457.56,1457.56,0,0,0,0,0,0,65604.4,71335.7,71335.8,0,297.53,1e+06,847.785,0,0,0,0,2.93596e+06,2.93596e+06,0,0,9.89645e+11,2999.98,3000,2.9361e+06,-16.2971,
I1,15.09.1998 16:48:00,332.434,334.707,261.389,40.9156,0,40.9145,181.93,60,2999.86,2999.86,0,0,1441.62,1441.62,0,0,0,0,0,0,66337.5,72122.5,72122.7,0,296.946,1e+06,850.426,0,0,0,0,2.96596e+06,2.96596e+06,0,0,9.99743e+11,2999.98,3000,2.9661e+06,-16.4431,
I1,25.09.1998 16:48:00,331.511,333.787,260.474,40.9184,0,40.9174,182.73,60,2999.86,2999.86,0,0,1445.92,1445.92,0,0,0,0,0,0,67070.7,72850.6,72850.7,0,281.284,1e+06,853.28,0,0,0,0,2.99596e+06,2.99596e+06,0,0,1.00986e+12,2999.98,3000,2.9961e+06,-16.5887,
I1,05.10.1998 16:48:00,330.718,332.996,259.65,40.9,0,40.899,182.604,60,2999.86,2999.86,0,0,1443.88,1443.88,0,0,0,0,0,0,67804.1,73616.8,73616.9,0,279.205,1e+06,844.037,0,0,0,0,3.02596e+06,3.02596e+06,0,0,1.01997e+12,2999.98,3000,3.0261e+06,-16.7339,
I1,15.10.1998 16:48:00,329.916,332.195,258.849,40.9,0,40.899,182.403,60,2999.86,2999.86,0,0,1441.33,1441.33,0,0,0,0,0,0,68537.6,74350.3,74350.4,0,278.57,1e+06,845.985,0,0,0,0,3.05595e+06,3.05595e+06,0,0,1.0301e+12,2999.98,3000,3.0561e+06,-16.8787,
I1,25.10.1998 16:48:00,329.235,331.515,258.13,40.8782,0,40.8771,182.21,60,2999.86,2999.86,0,0,1438.86,1438.86,0,0,0,0,0,0,69271.4,75123.9,75124,0,261.954,1e+06,847.636,0,0,0,0,3.08595e+06,3.08595e+06,0,0,1.04023e+12,2999.98,3000,3.0861e+06,-17.0232,
I1,04.11.1998 16:48:00,328.695,330.976,257.656,40.9147,0,40.9136,183.856,60,2999.86,2999.86,0,0,1450.17,1450.17,0,0,0,0,0,0,70004.6,75790.1,75790.2,0,242.038,1e+06,838.906,0,0,0,0,3.11595e+06,3.11595e+06,0,0,1.05038e+12,2999.98,3000,3.1161e+06,-17.1673,
I1,14.11.1998 16:48:00,327.644,329.926,256.575,40.8972,0,40.8962,180.263,60,2999.86,2999.86,0,0,1425.87,1425.87,0,0,0,0,0,0,70738.2,76556,76556.1,0,260.539,1e+06,843.373,0,0,0,0,3.14595e+06,3.14595e+06,0,0,1.06048e+12,2999.98,3000,3.1461e+06,-17.311,
I1,24.11.1998 16:48:00,326.685,328.967,255.621,40.8999,0,40.8989,181.001,60,2999.85,2999.85,0,0,1430.02,1430.02,0,0,0,0,0,0,71471.6,77284.4,77284.5,0,244.41,1e+06,845.225,0,0,0,0,3.17595e+06,3.17595e+06,0,0,1.0706e+12,2999.98,3000,3.1761e+06,-17.4543,
I1,04.12.1998 16:48:00,325.92,328.203,254.847,40.8945,0,40.8934,181.296,60,2999.85,2999.85,0,0,1430.88,1430.88,0,0,0,0,0,0,72205.2,78028.2,78028.3,0,242.632,1e+06,836.738,0,0,0,0,3.20595e+06,3.20595e+06,0,0,1.08073e+12,2999.98,3000,3.2061e+06,-17.5972,
I1,14.12.1998 16:48:00,325.188,327.472,254.098,40.8842,0,40.8832,181.162,60,2999.85,2999.85,0,0,1428.87,1428.87,0,0,0,0,0,0,72938.9,78781.5,78781.7,0,241.658,1e+06,838.845,0,0,0,0,3.23594e+06,3.23594e+06,0,0,1.09087e+12,2999.98,3000,3.2361e+06,-17.7398,
I1,24.12.1998 16:48:00,324.48,326.764,253.363,40.8691,0,40.8681,180.981,60,2999.85,2999.85,0,0,1426.4,1426.4,0,0,0,0,0,0,73672.9,79544.6,79544.8,0,225.853,1e+06,840.404,0,0,0,0,3.26594e+06,3.26594e+06,0,0,1.10101e+12,2999.98,3000,3.2661e+06,-17.882,
I1,03.01.1999 16:48:00,323.821,326.106,252.688,40.8599,0,40.8589,180.841,60,2999.85,2999.85,0,0,1424.49,1424.49,0,0,0,0,0,0,74407.1,80296.7,80296.9,0,220.926,1e+06,832.583,0,0,0,0,3.29594e+06,3.29594e+06,0,0,1.11116e+12,2999.98,3000,3.2961e+06,-18.0239,
I1,13.01.1999 16:48:00,323.14,325.426,251.976,40.8426,0,40.8416,180.693,60,2999.85,2999.85,0,0,1422.46,1422.46,0,0,0,0,0,0,75141.6,81065.2,81065.4,0,209.344,1e+06,834.655,0,0,0,0,3.32594e+06,3.32594e+06,0,0,1.12131e+12,2999.98,3000,3.3261e+06,-18.1653,
I1,23.01.1999 16:48:00,322.544,324.83,251.371,40.8369,0,40.8359,180.527,60,2999.85,2999.85,0,0,1420.18,1420.18,0,0,0,0,0,0,75876.2,81811.2,81811.4,0,204.837,1e+06,836.506,0,0,0,0,3.35594e+06,3.35594e+06,0,0,1.13146e+12,2999.98,3000,3.3561e+06,-18.3064,
I1,02.02.1999 16:48:00,321.793,324.079,250.606,40.8289,0,40.8278,180.384,60,2999.85,2999.85,0,0,1418.19,1418.19,0,0,0,0,0,0,76610.9,82562,82562.2,0,206.798,1e+06,839.142,0,0,0,0,3.38594e+06,3.38594e+06,0,0,1.14162e+12,2999.98,3000,3.3861e+06,-18.4472,
I1,12.02.1999 16:48:00,321.288,323.575,250.057,40.8044,0,40.8034,180.204,60,2999.85,2999.85,0,0,1415.67,1415.67,0,0,0,0,0,0,77346.1,83346.7,83346.9,0,185.622,1e+06,830.562,0,0,0,0,3.41594e+06,3.41594e+06,0,0,1.15179e+12,2999.98,3000,3.4161e+06,-18.5875,
I1,22.02.1999 16:48:00,320.883,323.171,249.652,40.804,0,40.803,180.084,60,2999.85,2999.85,0,0,1414,1414,0,0,0,0,0,0,78081.3,84082.6,84082.9,0,171.227,1e+06,833.264,0,0,0,0,3.44593e+06,3.44593e+06,0,0,1.16196e+12,2999.98,3000,3.4461e+06,-18.7275,
I1,04.03.1999 16:48:00,320.522,322.81,249.291,40.8036,0,40.8026,179.995,60,2999.85,2999.85,0,0,1412.74,1412.74,0,0,0,0,0,0,78816.5,84818.7,84818.9,0,188.669,1e+06,835.685,0,0,0,0,3.47593e+06,3.47593e+06,0,0,1.17214e+12,2999.98,3000,3.4761e+06,-18.8672,
I1,14.03.1999 16:48:00,319.972,322.26,248.652,40.7544,0,40.7534,178.282,60,2999.85,2999.85,0,0,1398.2,1398.2,0,0,0,0,0,0,79552.6,85657.1,85657.3,0,173.302,1e+06,827.21,0,0,0,0,3.50593e+06,3.50593e+06,0,0,1.1823e+12,2999.98,3000,3.5061e+06,-19.0064,
I1,24.03.1999 16:48:00,319.713,322.002,248.347,40.7283,0,40.7273,178.946,60,2999.85,2999.85,0,0,1400.63,1400.63,0,0,0,0,0,0,80289.1,86448.7,86448.9,0,171.35,1e+06,830.232,0,0,0,0,3.53593e+06,3.53593e+06,0,0,1.19248e+12,2999.98,3000,3.5361e+06,-19.1453,
I1,03.04.1999 16:48:00,319.048,321.337,247.811,40.7997,0,40.7987,178.814,60,2999.85,2999.85,0,0,1404.43,1404.43,0,0,0,0,0,0,81024.4,87032.6,87032.9,0,171.247,1e+06,833.698,0,0,0,0,3.56593e+06,3.56593e+06,0,0,1.20265e+12,2999.98,3000,3.5661e+06,-19.2839,
I1,13.04.1999 16:48:00,318.574,320.864,247.323,40.7913,0,40.7903,179.103,60,2999.85,2999.85,0,0,1405.68,1405.68,0,0,0,0,0,0,81759.8,87785.9,87786.2,0,137.931,1e+06,824.3,0,0,0,0,3.59593e+06,3.59593e+06,0,0,1.21283e+12,2999.98,3000,3.5961e+06,-19.4221,
I1,23.04.1999 16:48:00,318.027,320.317,246.819,40.8152,0,40.8142,179.051,60,2999.85,2999.85,0,0,1405.15,1405.15,0,0,0,0,0,0,82494.8,88469.5,88469.8,0,136.099,1e+06,824.693,0,0,0,0,3.62592e+06,3.62592e+06,0,0,1.22301e+12,2999.98,3000,3.6261e+06,-19.5599,
I1,03.05.1999 16:48:00,317.628,319.919,246.378,40.7916,0,40.7906,178.935,60,2999.85,2999.85,0,0,1403.51,1403.51,0,0,0,0,0,0,83230.2,89256.1,89256.4,0,153.084,1e+06,831.442,0,0,0,0,3.65592e+06,3.65592e+06,0,0,1.23319e+12,2999.98,3000,3.6561e+06,-19.6974,
I1,13.05.1999 16:48:00,317.171,319.464,245.922,40.7912,0,40.7902,178.848,60,2999.85,2999.85,0,0,1402.24,1402.24,0,0,0,0,0,0,83965.6,89992.4,89992.6,0,120.805,1e+06,822.229,0,0,0,0,3.68592e+06,3.68592e+06,0,0,1.24338e+12,2999.98,3000,3.6861e+06,-19.8345,
I1,23.05.1999 16:48:00,317.228,319.52,245.951,40.7762,0,40.7752,178.75,60,2999.85,2999.85,0,0,1400.82,1400.82,0,0,0,0,0,0,84701.3,90761.3,90761.6,0,136.755,1e+06,822.268,0,0,0,0,3.71592e+06,3.71592e+06,0,0,1.25357e+12,2999.98,3000,3.7161e+06,-19.9712,
I1,02.06.1999 16:48:00,316.712,319.004,245.465,40.7926,0,40.7916,178.776,60,2999.85,2999.85,0,0,1401.2,1401.2,0,0,0,0,0,0,85436.7,91460,91460.3,0,122.257,1e+06,829.477,0,0,0,0,3.74592e+06,3.74592e+06,0,0,1.26376e+12,2999.98,3000,3.7461e+06,-20.1076,
I1,12.06.1999 16:48:00,316.148,318.441,244.876,40.7783,0,40.7773,178.673,60,2999.85,2999.85,0,0,1399.71,1399.71,0,0,0,0,0,0,86172.3,92227.8,92228.1,0,120.721,1e+06,820.424,0,0,0,0,3.77592e+06,3.77592e+06,0,0,1.27395e+12,2999.98,3000,3.7761e+06,-20.2437,
I1,22.06.1999 16:48:00,315.781,318.075,244.505,40.7754,0,40.7744,178.55,60,2999.85,2999.85,0,0,1397.92,1397.92,0,0,0,0,0,0,86908,92970.1,92970.4,0,118.091,1e+06,821.887,0,0,0,0,3.80592e+06,3.80592e+06,0,0,1.28415e+12,2999.98,3000,3.8061e+06,-20.3793,
I1,02.07.1999 16:48:00,315.418,317.711,244.131,40.7696,0,40.7686,178.473,60,2999.85,2999.85,0,0,1396.8,1396.8,0,0,0,0,0,0,87643.8,93719.1,93719.4,0,95.7631,1e+06,815.561,0,0,0,0,3.83591e+06,3.83591e+06,0,0,1.29434e+12,2999.98,3000,3.8361e+06,-20.5147,
I1,12.07.1999 16:48:00,315.018,317.313,243.744,40.7762,0,40.7752,178.4,60,2999.85,2999.85,0,0,1395.74,1395.74,0,0,0,0,0,0,88379.5,94439.5,94439.8,0,87.0927,1e+06,818.4,0,0,0,0,3.86591e+06,3.86591e+06,0,0,1.30455e+12,2999.98,3000,3.8661e+06,-20.6496,
I1,22.07.1999 16:48:00,314.709,317.004,243.406,40.7597,0,40.7587,178.319,60,2999.85,2999.85,0,0,1394.56,1394.56,0,0,0,0,0,0,89115.5,95213.8,95214.1,0,96.8907,1e+06,820.65,0,0,0,0,3.89591e+06,3.89591e+06,0,0,1.31475e+12,2999.98,3000,3.8961e+06,-20.7843,
I1,01.08.1999 16:48:00,314.323,316.619,243.026,40.7627,0,40.7617,178.259,60,2999.85,2999.85,0,0,1393.69,1393.69,0,0,0,0,0,0,89851.4,95942.8,95943.1,0,72.8234,1e+06,814.407,0,0,0,0,3.92591e+06,3.92591e+06,0,0,1.32496e+12,2999.98,3000,3.9261e+06,-20.9185,
